Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
48.2,7.6,-6.3,7.57,-6.65,0.02999999999999936,0.35000000000000053,0.3512833614050064
48.3,7.6,-6.3,7.54,-6.99,0.05999999999999961,0.6900000000000004,0.692603782836912
48.4,7.6,-6.3,7.77,-7.22,-0.16999999999999993,0.9199999999999999,0.9355746896961246
48.5,7.6,-6.3,7.44,-7.16,0.15999999999999925,0.8600000000000003,0.8747571091451617
48.6,7.6,-6.3,7.13,-7.04,0.46999999999999975,0.7400000000000002,0.8766413177577247
48.7,7.6,-6.3,6.94,-6.77,0.6599999999999993,0.46999999999999975,0.8102468759581852
48.8,7.6,-6.3,6.77,-6.48,0.8300000000000001,0.1800000000000006,0.8492938243034623
48.9,7.6,-6.3,6.77,-6.15,0.8300000000000001,-0.14999999999999947,0.8434453153583816
49.0,7.58,-6.279999999999999,7.09,-6.23,0.4900000000000002,-0.049999999999998934,0.49254441424099016
49.1,7.6,-6.3,7.05,-5.9,0.5499999999999998,-0.39999999999999947,0.6800735254367717
49.2,7.6,-6.3,6.84,-5.64,0.7599999999999998,-0.6600000000000001,1.0065783625729294
49.3,7.6,-6.3,6.92,-5.32,0.6799999999999997,-0.9799999999999995,1.192811804099875
49.4,7.6,-6.3,7.08,-5.61,0.5199999999999996,-0.6899999999999995,0.8640023148117132
49.5,7.6,-6.3,7.01,-5.94,0.5899999999999999,-0.35999999999999943,0.6911584478250985
49.6,7.6,-6.3,7.21,-6.21,0.3899999999999997,-0.08999999999999986,0.40024992192378966
49.7,7.6,-6.3,6.97,-6.45,0.6299999999999999,0.15000000000000036,0.6476109943476871
49.8,7.6,-6.3,7.19,-6.19,0.40999999999999925,-0.10999999999999943,0.4244997055358216
49.9,7.6,-6.3,7.02,-6.47,0.5800000000000001,0.16999999999999993,0.6044005294504631
50.0,7.5,-6.220000000000001,7.28,-6.67,0.21999999999999975,0.4499999999999993,0.5008991914547269
50.1,7.3,-6.6,7.21,-7.0,0.08999999999999986,0.40000000000000036,0.4100000000000003
50.2,7.3,-6.6,7.0,-7.26,0.2999999999999998,0.6600000000000001,0.7249827584156744
50.3,7.3,-6.6,6.71,-7.42,0.5899999999999999,0.8200000000000003,1.0101980003939823
50.4,7.3,-6.6,7.03,-7.32,0.2699999999999996,0.7200000000000006,0.7689603370785782
50.5,7.3,-6.6,7.28,-7.1,0.019999999999999574,0.5,0.5003998401278721
50.6,7.3,-6.6,7.61,-7.11,-0.3100000000000005,0.5100000000000007,0.5968249324550717
50.7,7.3,-6.6,7.37,-6.88,-0.07000000000000028,0.28000000000000025,0.28861739379323653
