Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
0.9,10,0.0,-24.3,-13.0,1.0,11.284,0.249
0.9,11,0.268,0.3,4.8,6.0,3.224,0.182
0.9,12,0.0,14.5,-10.8,3.0,5.642,0.249
0.9,13,0.001,15.0,2.6,5.0,3.761,0.248
0.9,14,0.0,-14.0,16.1,3.0,5.642,0.249
0.9,15,0.21,-4.7,-2.7,4.0,4.514,0.196
0.9,16,0.0,-16.4,3.9,1.0,11.284,0.249
0.9,17,0.005,12.3,-3.1,6.0,3.224,0.247
0.9,18,0.0,18.5,-4.7,4.0,4.514,0.249
0.9,19,0.034,8.8,3.2,9.0,2.257,0.24
0.9,20,0.0,-4.5,16.9,5.0,3.761,0.249
0.9,21,0.0,13.4,10.3,6.0,3.224,0.249
0.9,22,0.0,-4.3,16.3,5.0,3.761,0.249
0.9,23,0.025,3.1,9.4,8.0,2.508,0.242
0.9,24,0.0,17.3,-16.5,1.0,11.284,0.249
0.9,25,0.0,-23.1,-10.1,1.0,11.284,0.249
1.0,1,0.016,-10.8,-5.1,2.0,7.523,0.245
1.0,2,0.0,1.6,-23.8,0.0,22.568,0.249
1.0,3,0.019,11.2,2.8,8.0,2.508,0.244
1.0,4,0.0,15.9,16.2,2.0,7.523,0.249
1.0,5,0.524,-1.8,2.9,6.0,3.224,0.118
1.0,6,0.043,3.5,9.3,8.0,2.508,0.238
1.0,7,0.0,13.3,23.9,1.0,11.284,0.249
1.0,8,0.522,2.4,-2.4,6.0,3.224,0.119
1.0,9,0.0,-11.6,18.7,3.0,5.642,0.249
1.0,10,0.0,-24.3,-13.1,1.0,11.284,0.249
1.0,11,0.358,0.2,4.6,6.0,3.224,0.16
1.0,12,0.0,14.4,-10.5,3.0,5.642,0.249
1.0,13,0.003,14.8,2.5,5.0,3.761,0.248
1.0,14,0.0,-14.1,16.1,3.0,5.642,0.249
1.0,15,0.298,-4.5,-2.5,4.0,4.514,0.174
1.0,16,0.001,-16.2,3.8,1.0,11.284,0.248
1.0,17,0.011,12.2,-3.1,6.0,3.224,0.246
1.0,18,0.0,18.3,-4.6,4.0,4.514,0.249
1.0,19,0.062,8.6,3.2,9.0,2.257,0.233
1.0,20,0.001,-4.4,16.8,5.0,3.761,0.248
1.0,21,0.001,13.3,10.2,6.0,3.224,0.248
1.0,22,0.001,-4.0,16.1,5.0,3.761,0.248
1.0,23,0.05,2.9,9.2,8.0,2.508,0.236
1.0,24,0.0,17.3,-16.4,1.0,11.284,0.249
1.0,25,0.0,-23.2,-10.0,1.0,11.284,0.249
1.1,1,0.032,-10.5,-5.0,2.0,7.523,0.241
1.1,2,0.0,1.7,-23.8,0.0,22.568,0.249
1.1,3,0.036,11.0,2.9,9.0,2.257,0.24
1.1,4,0.0,15.8,16.1,2.0,7.523,0.249
1.1,5,0.594,-1.8,2.9,6.0,3.224,0.101
1.1,6,0.074,3.5,9.1,8.0,2.508,0.23
1.1,7,0.0,13.2,23.9,1.0,11.284,0.249
1.1,8,0.63,2.3,-2.2,6.0,3.224,0.092
1.1,9,0.0,-11.4,18.6,3.0,5.642,0.249
1.1,10,0.0,-24.3,-13.2,1.0,11.284,0.249
1.1,11,0.454,0.1,4.4,7.0,2.821,0.136
1.1,12,0.001,14.2,-10.3,3.0,5.642,0.248
1.1,13,0.007,14.6,2.3,5.0,3.761,0.247
1.1,14,0.0,-13.8,16.1,3.0,5.642,0.249
1.1,15,0.386,-4.3,-2.4,4.0,4.514,0.153
1.1,16,0.003,-16.1,3.7,1.0,11.284,0.248
1.1,17,0.023,12.0,-3.1,6.0,3.224,0.243
1.1,18,0.001,18.2,-4.6,4.0,4.514,0.248
1.1,19,0.099,8.4,3.1,9.0,2.257,0.224
1.1,20,0.002,-4.4,16.6,5.0,3.761,0.248
1.1,21,0.003,13.0,10.1,6.0,3.224,0.248
1.1,22,0.003,-3.8,15.9,5.0,3.761,0.248
1.1,23,0.082,2.8,9.0,8.0,2.508,0.228
1.1,24,0.0,17.3,-16.4,1.0,11.284,0.249
1.1,25,0.0,-23.1,-10.0,1.0,11.284,0.249
1.2,1,0.053,-10.3,-5.0,2.0,7.523,0.235
1.2,2,0.0,1.8,-23.8,0.0,22.568,0.249
1.2,3,0.061,10.7,2.9,9.0,2.257,0.233
1.2,4,0.0,15.6,15.8,2.0,7.523,0.249
1.2,5,0.699,-1.8,2.7,6.0,3.224,0.075
1.2,6,0.113,3.3,8.8,8.0,2.508,0.22
1.2,7,0.0,13.3,23.9,1.0,11.284,0.249
1.2,8,0.718,2.2,-2.2,7.0,2.821,0.07
1.2,9,0.0,-11.2,18.5,3.0,5.642,0.249
1.2,10,0.0,-24.4,-13.2,1.0,11.284,0.249
1.2,11,0.556,0.2,4.1,7.0,2.821,0.11
1.2,12,0.004,14.2,-10.0,3.0,5.642,0.248
1.2,13,0.015,14.4,2.3,5.0,3.761,0.245
1.2,14,0.0,-13.6,16.2,3.0,5.642,0.249
1.2,15,0.483,-4.1,-2.2,4.0,4.514,0.129
1.2,16,0.006,-16.0,3.6,1.0,11.284,0.247
1.2,17,0.041,11.8,-3.0,6.0,3.224,0.238
1.2,18,0.002,18.0,-4.6,4.0,4.514,0.248
1.2,19,0.147,8.1,3.1,9.0,2.257,0.212
1.2,20,0.005,-4.1,16.4,5.0,3.761,0.247
1.2,21,0.007,12.8,9.9,6.0,3.224,0.247
1.2,22,0.007,-3.6,15.7,5.0,3.761,0.247
1.2,23,0.122,2.8,8.8,9.0,2.257,0.218
1.2,24,0.0,17.1,-16.3,1.0,11.284,0.249
1.2,25,0.0,-23.1,-10.0,1.0,11.284,0.249
1.3,1,0.079,-10.2,-5.0,2.0,7.523,0.229
1.3,2,0.0,1.9,-23.8,0.0,22.568,0.249
1.3,3,0.091,10.5,2.9,9.0,2.257,0.226
1.3,4,0.001,15.6,15.5,2.0,7.523,0.248
1.3,5,0.819,-1.7,2.5,6.0,3.224,0.045
1.3,6,0.154,3.5,8.6,9.0,2.257,0.21
1.3,7,0.0,13.2,23.8,1.0,11.284,0.249
1.3,8,0.811,2.2,-2.2,8.0,2.508,0.047
1.3,9,0.001,-11.0,18.5,3.0,5.642,0.248
1.3,10,0.0,-24.5,-13.2,1.0,11.284,0.249
1.3,11,0.663,0.2,3.9,7.0,2.821,0.084
1.3,12,0.008,14.1,-9.7,3.0,5.642,0.247
1.3,13,0.026,14.2,2.4,5.0,3.761,0.242
1.3,14,0.001,-13.4,16.3,3.0,5.642,0.248
1.3,15,0.573,-4.0,-2.2,4.0,4.514,0.106
1.3,16,0.012,-15.9,3.5,1.0,11.284,0.246
1.3,17,0.067,11.5,-2.8,6.0,3.224,0.232
1.3,18,0.005,17.8,-4.4,4.0,4.514,0.247
1.3,19,0.198,7.9,3.1,9.0,2.257,0.199
1.3,20,0.01,-3.9,16.3,5.0,3.761,0.246
1.3,21,0.014,12.5,9.8,6.0,3.224,0.245
1.3,22,0.014,-3.5,15.5,5.0,3.761,0.245
1.3,23,0.171,2.7,8.6,9.0,2.257,0.206
1.3,24,0.0,17.1,-16.0,1.0,11.284,0.249
1.3,25,0.0,-23.1,-10.0,1.0,11.284,0.249
1.4,1,0.112,-10.0,-4.9,2.0,7.523,0.221
1.4,2,0.001,2.0,-23.8,0.0,22.568,0.248
1.4,3,0.126,10.3,3.0,9.0,2.257,0.217
1.4,4,0.002,15.6,15.3,2.0,7.523,0.248
1.4,5,0.886,-1.7,2.5,6.0,3.224,0.028
1.4,6,0.206,3.3,8.4,9.0,2.257,0.197
1.4,7,0.0,13.2,23.6,1.0,11.284,0.249
1.4,8,0.917,2.1,-2.0,8.0,2.508,0.021
1.4,9,0.002,-10.8,18.4,3.0,5.642,0.248
1.4,10,0.0,-24.6,-13.3,1.0,11.284,0.249
1.4,11,0.77,0.1,3.7,7.0,2.821,0.057
1.4,12,0.015,14.0,-9.4,3.0,5.642,0.245
1.4,13,0.042,14.0,2.3,5.0,3.761,0.238
1.4,14,0.003,-13.2,16.3,3.0,5.642,0.248
1.4,15,0.661,-3.8,-2.1,4.0,4.514,0.084
1.4,16,0.021,-15.8,3.3,1.0,11.284,0.243
1.4,17,0.096,11.3,-2.9,6.0,3.224,0.225
1.4,18,0.009,17.6,-4.2,4.0,4.514,0.246
1.4,19,0.259,7.7,3.0,9.0,2.257,0.184
1.4,20,0.018,-3.8,16.1,5.0,3.761,0.244
1.4,21,0.024,12.4,9.6,6.0,3.224,0.243
1.4,22,0.023,-3.4,15.4,5.0,3.761,0.243
1.4,23,0.227,2.5,8.3,9.0,2.257,0.192
1.4,24,0.001,17.0,-15.9,1.0,11.284,0.248
1.4,25,0.0,-23.1,-10.0,1.0,11.284,0.249
1.5,1,0.149,-9.9,-4.8,3.0,5.642,0.212
1.5,2,0.001,1.9,-23.8,0.0,22.568,0.248
1.5,3,0.169,10.1,2.9,9.0,2.257,0.207
1.5,4,0.004,15.4,15.2,2.0,7.523,0.248
1.5,5,0.978,-1.7,2.4,7.0,2.821,0.005
1.5,6,0.259,3.2,8.3,9.0,2.257,0.184
1.5,7,0.0,13.2,23.5,1.0,11.284,0.249
1.5,8,0.99,2.1,-2.0,8.0,2.508,0.002
1.5,9,0.005,-10.7,18.3,3.0,5.642,0.247
1.5,10,0.0,-24.6,-13.3,1.0,11.284,0.249
1.5,11,0.878,0.1,3.5,7.0,2.821,0.03
1.5,12,0.026,13.9,-9.2,3.0,5.642,0.242
1.5,13,0.062,13.8,2.3,5.0,3.761,0.233
1.5,14,0.005,-13.0,16.2,3.0,5.642,0.247
1.5,15,0.761,-3.6,-2.1,4.0,4.514,0.059
1.5,16,0.033,-15.6,3.0,1.0,11.284,0.24
1.5,17,0.129,11.2,-2.8,6.0,3.224,0.217
1.5,18,0.016,17.4,-4.2,4.0,4.514,0.245
1.5,19,0.318,7.5,3.0,9.0,2.257,0.17
1.5,20,0.029,-3.8,15.9,5.0,3.761,0.241
1.5,21,0.037,12.3,9.5,6.0,3.224,0.239
1.5,22,0.037,-3.2,15.3,5.0,3.761,0.239
1.5,23,0.288,2.5,8.1,9.0,2.257,0.177
1.5,24,0.002,16.9,-15.7,1.0,11.284,0.248
1.5,25,0.001,-23.1,-10.1,1.0,11.284,0.248
1.6,1,0.191,-9.7,-4.8,3.0,5.642,0.201
1.6,2,0.003,2.0,-23.8,0.0,22.568,0.248
1.6,3,0.214,10.0,2.8,9.0,2.257,0.195
1.6,4,0.007,15.4,15.0,2.0,7.523,0.247
1.6,5,1.097,-1.6,2.2,7.0,2.821,0.024
1.6,6,0.319,3.3,8.1,9.0,2.257,0.169
1.6,7,0.001,13.2,23.3,1.0,11.284,0.248
1.6,8,1.044,2.1,-2.1,8.0,2.508,0.011
1.6,9,0.008,-10.6,18.2,3.0,5.642,0.247
1.6,10,0.0,-24.7,-13.1,1.0,11.284,0.249
1.6,11,0.986,0.3,3.3,7.0,2.821,0.003
1.6,12,0.038,13.9,-9.0,3.0,5.642,0.239
1.6,13,0.087,13.6,2.1,5.0,3.761,0.227
1.6,14,0.009,-12.9,16.2,3.0,5.642,0.246
1.6,15,0.851,-3.5,-2.1,4.0,4.514,0.037
1.6,16,0.049,-15.4,2.9,1.0,11.284,0.236
1.6,17,0.166,11.0,-2.8,6.0,3.224,0.207
1.6,18,0.026,17.2,-4.2,4.0,4.514,0.242
1.6,19,0.39,7.2,2.9,9.0,2.257,0.152
1.6,20,0.044,-3.7,15.7,5.0,3.761,0.238
1.6,21,0.054,12.2,9.4,6.0,3.224,0.235
1.6,22,0.054,-3.2,15.1,5.0,3.761,0.235
1.6,23,0.359,2.4,7.8,9.0,2.257,0.159
1.6,24,0.004,16.8,-15.4,1.0,11.284,0.248
1.6,25,0.002,-23.1,-10.0,1.0,11.284,0.248
1.7,1,0.235,-9.6,-4.7,3.0,5.642,0.19
1.7,2,0.005,2.0,-23.8,0.0,22.568,0.247
1.7,3,0.267,9.7,2.9,9.0,2.257,0.182
1.7,4,0.012,15.3,14.8,2.0,7.523,0.246
1.7,5,1.214,-1.4,2.1,7.0,2.821,0.053
1.7,6,0.378,3.2,7.9,9.0,2.257,0.155
1.7,7,0.002,13.2,23.0,1.0,11.284,0.248
1.7,8,1.16,2.0,-1.9,8.0,2.508,0.04
1.7,9,0.014,-10.4,18.0,3.0,5.642,0.245
1.7,10,0.001,-24.5,-12.9,1.0,11.284,0.248
