,Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
540,54.0,7.140000000000001,-6.4,4.27,-5.43,2.870000000000001,-0.9700000000000006,3.029488405655319
541,54.1,7.3,-6.6,4.11,-5.13,3.1899999999999995,-1.4699999999999998,3.5124065823876363
542,54.2,7.3,-6.6,4.23,-4.83,3.0699999999999994,-1.7699999999999996,3.5436986327846776
543,54.3,7.3,-6.6,4.15,-5.15,3.1499999999999995,-1.4499999999999993,3.4677081768799396
544,54.4,7.3,-6.6,4.28,-5.46,3.0199999999999996,-1.1399999999999997,3.2280024783137944
545,54.5,7.3,-6.6,3.98,-5.29,3.32,-1.3099999999999996,3.5691035288990984
546,54.6,7.3,-6.6,4.23,-5.52,3.0699999999999994,-1.08,3.254427753077336
547,54.7,7.3,-6.6,3.9,-5.54,3.4,-1.0599999999999996,3.5614042174400815
548,54.8,7.3,-6.6,4.15,-5.33,3.1499999999999995,-1.2699999999999996,3.396380426277362
549,54.9,7.3,-6.6,4.48,-5.41,2.8199999999999994,-1.1899999999999995,3.060800548876061
550,55.0,7.140000000000001,-6.540000000000001,4.15,-5.45,2.99,-1.0900000000000007,3.1824833071046896
551,55.1,6.7,-5.9,3.94,-5.18,2.7600000000000002,-0.7200000000000006,2.8523674377611314
552,55.2,6.7,-5.9,3.73,-4.92,2.97,-0.9800000000000004,3.1275069943966556
553,55.3,6.7,-5.9,3.95,-5.18,2.75,-0.7200000000000006,2.8426923857498196
554,55.4,6.7,-5.9,4.22,-4.99,2.4800000000000004,-0.9100000000000001,2.6416850682850144
555,55.5,6.7,-5.9,4.53,-4.86,2.17,-1.04,2.40634577731464
556,55.6,4.7,-3.2,4.3,-4.61,0.40000000000000036,1.4100000000000001,1.465639792036229
557,55.7,4.7,-3.3,4.44,-4.92,0.2599999999999998,1.62,1.6407315441594947
558,55.8,4.7,-3.3,4.58,-4.61,0.1200000000000001,1.3100000000000005,1.3154847015454043
559,55.9,4.7,-3.3,4.32,-4.41,0.3799999999999999,1.1100000000000003,1.1732433677630574
560,56.0,6.32,-5.46,4.38,-4.74,1.9400000000000004,-0.7199999999999998,2.06929939834718
561,56.1,4.4,-3.1,4.52,-4.44,-0.11999999999999922,1.3400000000000003,1.3453624047073711
562,56.2,4.4,-3.1,4.82,-4.29,-0.41999999999999993,1.19,1.2619429464123961
563,56.3,5.9,-4.58,4.88,-3.96,1.0200000000000005,-0.6200000000000001,1.1936498649101424
564,56.4,5.9,-4.6,4.6,-4.14,1.3000000000000007,-0.45999999999999996,1.3789851340750567
565,56.5,5.9,-4.6,4.86,-4.35,1.04,-0.25,1.0696261028976435
566,56.6,5.8,-4.4,4.92,-4.68,0.8799999999999999,0.27999999999999936,0.9234717104492154
567,56.7,5.66,-4.779999999999999,4.62,-4.83,1.04,0.05000000000000071,1.0412012293500235
568,56.8,5.7,-4.8,4.3,-4.91,1.4000000000000004,0.11000000000000032,1.4043147795277244
569,56.9,5.7,-4.8,4.63,-4.89,1.0700000000000003,0.08999999999999986,1.0737783756436896
570,57.0,5.62,-4.88,4.64,-4.56,0.9800000000000004,-0.3200000000000003,1.0309219175087903
571,57.1,5.3,-4.9,4.87,-4.32,0.4299999999999997,-0.5800000000000001,0.7220110802473878
572,57.2,5.279999999999999,-4.5,4.79,-4.64,0.4899999999999993,0.13999999999999968,0.5096076922496355
573,57.3,5.06,-4.82,4.68,-4.96,0.3799999999999999,0.13999999999999968,0.4049691346263315
574,57.4,4.9,-4.92,4.35,-4.93,0.5500000000000007,0.009999999999999787,0.5500909015790033
575,57.5,4.9,-4.9,4.62,-4.73,0.28000000000000025,-0.16999999999999993,0.32756678708318415
576,57.6,4.9,-4.9,4.55,-4.41,0.35000000000000053,-0.4900000000000002,0.6021627686929844
577,57.7,4.9,-4.9,4.22,-4.36,0.6800000000000006,-0.54,0.8683317338436969
578,57.8,4.9,-4.9,4.45,-4.59,0.4500000000000002,-0.3100000000000005,0.5464430436925705
579,57.9,4.9,-4.9,4.12,-4.58,0.7800000000000002,-0.3200000000000003,0.84308955633432
580,58.0,4.9,-4.82,3.91,-4.32,0.9900000000000002,-0.5,1.1090987332063815
581,58.1,4.9,-4.9,3.67,-4.54,1.2300000000000004,-0.3600000000000003,1.28160056179763
582,58.2,4.9,-4.9,3.94,-4.74,0.9600000000000004,-0.16000000000000014,0.9732420048477156
583,58.3,4.9,-4.9,3.87,-4.41,1.0300000000000002,-0.4900000000000002,1.14061386980871
584,58.4,4.9,-4.9,4.13,-4.2,0.7700000000000005,-0.7000000000000002,1.0406248123122959
585,58.5,4.9,-4.9,4.33,-4.47,0.5700000000000003,-0.4300000000000006,0.7140028011149542
586,58.6,4.9,-4.9,4.39,-4.14,0.5100000000000007,-0.7600000000000007,0.9152595260361958
587,58.7,4.9,-4.9,4.39,-3.8,0.5100000000000007,-1.1000000000000005,1.212476803901832
588,58.8,4.9,-4.9,4.18,-3.55,0.7200000000000006,-1.3500000000000005,1.5300000000000007
589,58.9,4.9,-4.9,3.87,-3.67,1.0300000000000002,-1.2300000000000004,1.6043067038443746
590,59.0,4.82,-4.779999999999999,3.6,-3.47,1.2200000000000002,-1.3099999999999992,1.7901117283566403
591,59.1,4.9,-4.9,3.29,-3.36,1.6100000000000003,-1.5400000000000005,2.2279362647975374
592,59.2,4.9,-4.9,3.49,-3.63,1.4100000000000001,-1.2700000000000005,1.8976301009416987
593,59.3,4.9,-4.9,3.72,-3.87,1.1800000000000002,-1.0300000000000002,1.5663013758533193
594,59.4,4.9,-4.9,4.05,-3.84,0.8500000000000005,-1.0600000000000005,1.3587126259809328
595,59.5,4.9,-4.9,4.08,-3.5,0.8200000000000003,-1.4000000000000004,1.622467256988566
596,59.6,4.9,-4.9,4.41,-3.55,0.4900000000000002,-1.3500000000000005,1.4361754767437027
597,59.7,4.9,-4.9,4.74,-3.49,0.16000000000000014,-1.4100000000000001,1.4190489773083945
598,59.8,4.9,-4.9,4.49,-3.72,0.41000000000000014,-1.1800000000000002,1.249199743836029
599,59.9,4.9,-4.9,4.32,-4.0,0.5800000000000001,-0.9000000000000004,1.0707007051459343
