Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.4,20,isocontour,6,47519.08,100.0,9.1,-5.2,-860.4,-0.4,-0.1,0.4,2.4,1.5,-7.7,7
0.4,21,isocontour,6,47517.29,99.99,6.6,-6.9,-747.9,-0.7,0.2,0.7,2.4,1.5,-7.7,7
0.4,Target,,,,,-19.53,1.31,-0.018,0.92,0.96,,,,,
0.5,1,seeker,5,47515.94,99.99,13.0,12.8,-1191.648,-0.2,-0.7,0.7,12.6,11.6,-293.3,4
0.5,2,explorer,10,47519.74,100.0,-9.2,17.7,-371.9,-0.0,-0.4,0.4,-13.3,9.8,-110.3,15
0.5,3,explorer,10,47515.72,99.99,11.4,-3.6,-980.8,0.8,0.6,1.0,2.4,1.5,-7.7,7
0.5,4,explorer,10,47515.72,99.99,12.4,11.2,-1118.6,-0.5,-0.4,0.6,12.6,11.6,-293.3,4
0.5,5,explorer,10,47519.8,100.0,-6.1,19.4,-502.9,0.1,0.3,0.3,-13.3,9.8,-110.3,15
0.5,6,explorer,10,47516.06,99.99,3.1,-0.8,-519.0,0.1,-0.9,0.9,2.4,1.5,-7.7,7
0.5,7,explorer,10,47516.48,99.99,2.1,1.6,-468.9,-0.3,0.9,0.9,2.1,1.6,-7.7,7
0.5,8,explorer,10,47519.37,100.0,14.2,15.7,-1342.5,0.2,-0.3,0.4,12.6,11.6,-293.3,4
0.5,9,explorer,10,47519.76,100.0,-7.5,-15.3,-424.8,-0.2,0.3,0.4,-7.5,-15.3,-291.0,9
0.5,10,explorer,10,47519.76,100.0,-0.2,-8.2,-469.7,0.2,0.3,0.4,2.4,1.5,-7.7,7
0.5,11,explorer,10,47519.76,100.0,16.7,13.6,-1459.9,0.3,-0.1,0.3,12.6,11.6,-293.3,4
0.5,12,explorer,10,47519.76,100.0,2.0,-10.7,-611.1,0.2,-0.2,0.3,2.4,1.5,-7.7,7
0.5,13,explorer,10,47517.65,100.0,3.0,4.4,-519.0,-0.3,0.0,0.3,2.4,1.5,-7.7,7
0.5,14,explorer,10,47519.75,100.0,19.8,20.0,-1890.7,-0.3,-0.0,0.3,12.6,11.6,-293.3,4
0.5,15,explorer,10,47519.76,100.0,-13.2,9.8,-110.1,0.2,-0.2,0.3,-13.3,9.8,-110.3,15
