Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
5.8,23,1.089,-13.7,-9.2,0.0,22.568,0.025
5.8,24,0.223,-18.8,14.8,0.0,22.568,0.214
5.8,25,0.541,-1.3,-24.7,0.0,22.568,0.127
5.9,23,1.103,-13.7,-9.1,0.0,22.568,0.028
5.9,24,0.233,-18.8,14.8,0.0,22.568,0.211
5.9,25,0.55,-1.2,-24.7,0.0,22.568,0.124
6.0,23,1.12,-13.8,-9.1,0.0,22.568,0.033
6.0,24,0.244,-18.9,14.8,0.0,22.568,0.208
6.0,25,0.564,-1.3,-24.7,0.0,22.568,0.12
6.1,23,1.126,-13.8,-8.8,0.0,22.568,0.035
6.1,24,0.255,-19.0,14.7,0.0,22.568,0.205
6.1,25,0.572,-1.2,-24.7,0.0,22.568,0.118
6.2,23,1.133,-13.7,-8.7,0.0,22.568,0.037
6.2,24,0.266,-19.0,14.6,0.0,22.568,0.202
6.2,25,0.579,-1.1,-24.7,0.0,22.568,0.116
6.3,23,1.14,-13.8,-8.4,0.0,22.568,0.039
6.3,24,0.277,-19.1,14.6,0.0,22.568,0.199
6.3,25,0.586,-1.0,-24.7,0.0,22.568,0.114
6.4,23,1.153,-13.8,-8.3,0.0,22.568,0.042
6.4,24,0.289,-19.1,14.5,0.0,22.568,0.196
6.4,25,0.592,-1.0,-24.7,0.0,22.568,0.112
6.5,23,1.157,-13.7,-8.2,0.0,22.568,0.043
6.5,24,0.297,-19.1,14.5,0.0,22.568,0.194
6.5,25,0.599,-0.9,-24.7,0.0,22.568,0.111
6.6,23,1.171,-13.8,-8.1,0.0,22.568,0.047
6.6,24,0.304,-19.0,14.6,0.0,22.568,0.192
6.6,25,0.611,-0.9,-24.7,0.0,22.568,0.107
6.7,23,1.186,-13.9,-7.9,0.0,22.568,0.051
6.7,24,0.314,-19.0,14.5,0.0,22.568,0.189
6.7,25,0.618,-0.9,-24.7,0.0,22.568,0.105
6.8,23,1.195,-13.8,-7.9,0.0,22.568,0.054
6.8,24,0.321,-19.0,14.6,0.0,22.568,0.187
6.8,25,0.623,-0.8,-24.7,0.0,22.568,0.104
6.9,23,1.201,-13.7,-7.8,0.0,22.568,0.055
6.9,24,0.33,-19.1,14.6,0.0,22.568,0.185
6.9,25,0.634,-0.9,-24.7,0.0,22.568,0.101
7.0,23,1.205,-13.8,-7.6,0.0,22.568,0.057
7.0,24,0.338,-19.0,14.6,0.0,22.568,0.182
7.0,25,0.64,-0.8,-24.7,0.0,22.568,0.099
7.1,23,1.21,-13.8,-7.4,0.0,22.568,0.058
7.1,24,0.345,-19.1,14.7,0.0,22.568,0.181
7.1,25,0.651,-0.9,-24.7,0.0,22.568,0.096
7.2,23,1.217,-13.8,-7.2,0.0,22.568,0.06
7.2,24,0.355,-19.1,14.6,0.0,22.568,0.178
7.2,25,0.663,-1.0,-24.7,0.0,22.568,0.093
7.3,23,1.233,-14.0,-7.0,0.0,22.568,0.064
7.3,24,0.362,-19.1,14.7,0.0,22.568,0.176
7.3,25,0.668,-0.9,-24.7,0.0,22.568,0.092
7.4,23,1.249,-14.1,-6.9,0.0,22.568,0.069
7.4,24,0.369,-19.1,14.7,0.0,22.568,0.174
7.4,25,0.672,-0.9,-24.7,0.0,22.568,0.09
7.5,23,1.261,-14.2,-6.7,0.0,22.568,0.072
7.5,24,0.376,-19.2,14.8,0.0,22.568,0.172
7.5,25,0.682,-0.9,-24.7,0.0,22.568,0.088
7.6,23,1.284,-14.4,-6.6,0.0,22.568,0.078
7.6,24,0.383,-19.2,14.8,0.0,22.568,0.17
7.6,25,0.686,-0.9,-24.7,0.0,22.568,0.087
7.7,23,1.31,-14.6,-6.6,0.0,22.568,0.085
7.7,24,0.391,-19.2,14.8,0.0,22.568,0.168
7.7,25,0.689,-0.8,-24.7,0.0,22.568,0.086
7.8,23,1.326,-14.8,-6.4,0.0,22.568,0.09
7.8,24,0.398,-19.3,14.9,0.0,22.568,0.166
7.8,25,0.698,-0.9,-24.7,0.0,22.568,0.083
7.9,23,1.348,-14.9,-6.3,0.0,22.568,0.096
