Time,ID,behv,com_radius,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.2,25,isocontour,5,99.99,14.7,-10.0,-102.3,0.5,-0.9,1.0,15.6,-14.3,-50.9,21
0.2,26,isocontour,5,100.0,-6.9,-11.8,-346.9,0.3,-0.1,0.3,-6.9,-11.8,-186.6,26
0.2,27,isocontour,5,100.0,-15.4,-13.3,-689.4,0.1,0.3,0.3,-15.4,-13.3,-412.3,27
0.2,28,isocontour,5,100.0,2.0,14.5,-1194.3,0.2,-0.4,0.4,-0.2,9.7,-94.1,13
0.2,29,isocontour,5,100.0,3.4,-10.7,-116.8,0.2,0.3,0.4,1.6,-8.7,-78.0,2
0.2,30,isocontour,5,100.0,-14.1,9.4,-1403.7,-0.3,-0.1,0.3,-14.1,9.4,-287.3,30
0.2,Target,,,,10.24,-19.1,-0.018,-1.31,0.25,,,,,
0.3,1,isocontour,5,100.0,-14.4,-2.1,-903.1,-0.1,-0.3,0.3,-14.3,-2.0,-209.5,1
0.3,2,isocontour,5,100.0,1.7,-8.8,-180.9,0.4,-0.9,1.0,1.6,-8.7,-78.0,2
0.3,3,isocontour,5,100.0,2.4,12.9,-1086.7,-0.3,-0.4,0.5,-0.2,9.7,-94.1,13
0.3,4,isocontour,5,100.0,-7.0,-18.1,-303.5,-0.2,0.2,0.3,-7.0,-18.1,-298.2,4
0.3,5,isocontour,5,100.0,-2.8,13.4,-1233.1,0.8,-0.0,0.8,-0.2,9.7,-94.1,13
0.3,6,isocontour,5,100.0,-14.6,-19.5,-622.2,0.3,0.1,0.3,-14.6,-19.5,-596.1,6
0.3,7,isocontour,5,100.0,12.1,2.9,-486.7,0.2,-0.2,0.3,12.1,2.9,-153.4,7
0.3,8,isocontour,5,100.0,9.5,-8.4,-116.4,-0.3,-0.2,0.4,9.5,-8.4,-115.5,8
0.3,9,isocontour,5,100.0,8.3,-1.3,-322.8,0.3,0.1,0.3,8.3,-1.3,-70.9,9
0.3,10,isocontour,5,100.0,-6.0,2.5,-736.2,0.1,-0.3,0.3,-6.1,2.5,-43.1,10
0.3,11,isocontour,5,100.0,13.7,19.4,-1497.3,0.1,0.3,0.3,11.4,19.6,-513.2,16
0.3,12,isocontour,5,99.99,16.2,-7.4,-171.4,-0.7,-0.7,1.0,15.6,-14.3,-50.9,21
0.3,13,isocontour,5,100.0,-0.2,9.7,-945.6,0.0,0.3,0.3,-0.2,9.7,-94.1,13
0.3,14,isocontour,5,100.0,1.8,4.5,-633.9,0.3,0.2,0.4,1.8,4.5,-23.7,14
0.3,15,isocontour,5,100.0,-9.4,7.3,-1088.9,-0.1,-1.0,1.0,-6.1,2.5,-43.1,10
0.3,16,isocontour,5,99.99,11.7,19.5,-1497.6,0.6,0.2,0.6,11.7,19.5,-513.2,16
0.3,17,isocontour,5,100.0,6.6,9.9,-858.3,-0.3,-0.1,0.3,6.6,9.9,-141.6,17
0.3,18,isocontour,5,100.0,-5.3,-3.7,-482.7,0.3,-0.1,0.3,-5.3,-3.7,-42.7,18
0.3,19,isocontour,5,99.99,-15.1,0.1,-1018.4,-0.0,-0.9,0.9,-14.3,-2.0,-209.5,1
0.3,20,isocontour,5,100.0,-6.6,-2.8,-553.7,0.5,-0.2,0.5,-5.4,-3.7,-42.7,18
0.3,21,isocontour,5,99.99,15.6,-14.0,-53.0,-0.0,1.1,1.1,15.6,-14.0,-50.9,21
0.3,22,isocontour,5,100.0,8.9,-14.1,-28.1,-0.3,0.0,0.3,8.9,-14.1,-27.2,22
0.3,23,isocontour,5,100.0,14.4,8.0,-755.6,-0.3,0.2,0.4,14.4,8.0,-271.9,23
0.3,24,isocontour,5,100.0,-8.2,2.8,-822.9,0.5,-0.2,0.5,-6.1,2.5,-43.1,10
0.3,25,isocontour,5,99.99,14.7,-10.1,-100.2,-0.0,-1.0,1.0,15.6,-14.3,-50.9,21
0.3,26,isocontour,5,100.0,-6.9,-11.8,-353.0,-0.3,-0.0,0.3,-6.9,-11.8,-186.6,26
0.3,27,isocontour,5,100.0,-15.4,-13.3,-697.1,-0.2,-0.2,0.3,-15.4,-13.3,-412.3,27
0.3,28,isocontour,5,99.99,2.0,14.4,-1192.4,0.5,-0.9,1.0,-0.2,9.7,-94.1,13
0.3,29,isocontour,5,100.0,3.5,-10.7,-119.0,0.3,0.1,0.3,1.6,-8.7,-78.0,2
0.3,30,isocontour,5,100.0,-14.1,9.4,-1412.1,-0.2,-0.2,0.3,-14.1,9.4,-287.3,30
0.3,Target,,,,10.37,-19.14,-0.018,1.26,-0.45,,,,,
0.4,1,isocontour,5,100.0,-14.4,-2.1,-907.9,-0.2,0.2,0.3,-14.3,-2.0,-209.5,1
0.4,2,isocontour,5,99.99,1.8,-8.9,-180.6,0.9,-0.5,1.0,1.6,-8.7,-78.0,2
0.4,3,isocontour,5,99.99,2.4,12.8,-1089.4,-0.4,-0.9,1.0,-0.2,9.7,-94.1,13
0.4,4,isocontour,5,100.0,-7.0,-18.1,-301.8,0.3,0.1,0.3,-7.0,-18.1,-298.2,4
0.4,5,isocontour,5,100.0,-2.7,13.4,-1238.9,0.7,-0.0,0.7,-0.2,9.7,-94.1,13
0.4,6,isocontour,5,100.0,-14.6,-19.5,-622.1,-0.3,0.1,0.3,-14.6,-19.5,-596.1,6
0.4,7,isocontour,5,100.0,12.1,2.8,-492.2,0.3,-0.1,0.3,12.1,2.8,-153.4,7
0.4,8,isocontour,5,100.0,9.5,-8.4,-119.7,-0.2,0.2,0.3,9.5,-8.4,-115.5,8
0.4,9,isocontour,5,100.0,8.3,-1.3,-328.1,-0.3,0.2,0.4,8.3,-1.3,-70.9,9
0.4,10,isocontour,5,100.0,-6.1,2.5,-741.7,-0.3,-0.0,0.3,-6.1,2.5,-43.1,10
0.4,11,isocontour,5,100.0,13.7,19.4,-1505.1,-0.1,-0.3,0.3,11.4,19.6,-513.2,16
0.4,12,isocontour,5,99.99,16.1,-7.5,-172.0,-0.3,-1.0,1.0,15.6,-14.3,-50.9,21
0.4,13,isocontour,5,100.0,-0.2,9.7,-950.5,0.1,-0.3,0.3,-0.2,9.7,-94.1,13
0.4,14,isocontour,5,100.0,1.8,4.5,-638.2,0.3,-0.2,0.4,1.8,4.5,-23.7,14
0.4,15,isocontour,5,99.99,-9.3,7.2,-1087.7,0.5,-1.0,1.1,-6.1,2.5,-43.1,10
0.4,16,isocontour,5,99.99,11.8,19.6,-1509.3,1.0,0.2,1.0,11.8,19.6,-513.2,16
0.4,17,isocontour,5,100.0,6.6,9.9,-867.1,0.2,0.3,0.4,6.6,9.9,-141.6,17
0.4,18,isocontour,5,100.0,-5.3,-3.7,-486.6,-0.3,-0.0,0.3,-5.3,-3.7,-42.7,18
0.4,19,isocontour,5,99.99,-15.1,0.1,-1019.6,0.1,-0.5,0.5,-14.3,-2.0,-209.5,1
0.4,20,isocontour,5,100.0,-6.5,-2.8,-554.7,0.4,-0.3,0.5,-5.4,-3.7,-42.7,18
0.4,21,isocontour,5,99.99,15.5,-14.0,-54.8,-0.4,0.6,0.7,15.5,-14.0,-50.9,21
0.4,22,isocontour,5,100.0,8.9,-14.0,-29.7,-0.1,0.3,0.3,8.9,-14.0,-27.2,22
0.4,23,isocontour,5,100.0,14.4,8.0,-761.2,0.0,-0.3,0.3,14.4,8.0,-271.9,23
0.4,24,isocontour,5,99.99,-8.1,2.8,-824.6,1.0,0.2,1.0,-6.1,2.5,-43.1,10
