,Time Averaged Non-Dimensional Area Coverage,heterogeneity,seekers,explorers,isocontours
0,0.8166066666666667,0.08,14,2,9
0,0.8619713333333334,0.12,13,3,9
0,0.9569219999999998,0.16,12,4,9
0,0.8025133333333333,0.2,11,5,9
0,0.9283913333333332,0.24,10,6,9
0,0.8746046666666665,0.28,9,7,9
0,1.0969866666666668,0.32,8,8,9
0,0.9759386666666666,0.36,7,9,9
0,0.9610693333333332,0.4,6,10,9
0,0.9105266666666666,0.44,5,11,9
0,1.0243586666666666,0.48,4,12,9
0,1.0991073333333334,0.52,3,13,9
0,0.8430866666666668,0.56,2,14,9
0,1.0773153333333334,0.6,1,15,9
0,0.314382,0.0,15,0,10
0,0.4693573333333333,0.04,14,1,10
0,0.5637966666666666,0.08,13,2,10
0,0.720996,0.12,12,3,10
0,0.72554,0.16,11,4,10
0,0.8984046666666666,0.2,10,5,10
0,0.8783120000000001,0.24,9,6,10
0,0.9512386666666668,0.28,8,7,10
0,0.8751213333333333,0.32,7,8,10
0,1.1130173333333333,0.36,6,9,10
0,0.9602813333333332,0.4,5,10,10
0,0.97862,0.44,4,11,10
0,1.0338513333333337,0.48,3,12,10
0,1.161379333333333,0.52,2,13,10
0,1.0818713333333334,0.56,1,14,10
0,0.5099033333333334,0.0,14,0,11
0,0.4492773333333333,0.04,13,1,11
0,0.561536,0.08,12,2,11
0,0.8904393333333334,0.12,11,3,11
0,0.7259266666666666,0.16,10,4,11
0,0.9168713333333334,0.2,9,5,11
0,0.7765259999999999,0.24,8,6,11
0,1.037321333333333,0.28,7,7,11
0,0.978512,0.32,6,8,11
0,0.9436466666666664,0.36,5,9,11
0,1.2292453333333335,0.4,4,10,11
0,0.8630880000000001,0.44,3,11,11
0,1.0730353333333331,0.48,2,12,11
0,1.0556253333333334,0.52,1,13,11
0,0.4032206666666666,0.0,13,0,12
0,0.9322166666666668,0.04,12,1,12
0,0.6010733333333333,0.08,11,2,12
0,0.6286093333333334,0.12,10,3,12
0,0.8173280000000002,0.16,9,4,12
