,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,heterogeneity,Seekers,Explorers,Isocontours
0,0.1,0.104,5.999999999999989,1.2857142857142834,2.5714285714285667,0.6,7,15,3
0,0.1,0.0,13.533333333333344,3.3833333333333364,6.766666666666673,0.64,6,16,3
0,0.1,0.597,0.0,0.0,0.0,0.68,5,17,3
0,0.1,,,,,0.72,4,18,3
0,0.1,0.0,40.4000000000004,20.2000000000002,40.4000000000004,0.76,3,19,3
0,0.1,0.061,7.933333333333316,5.949999999999987,11.899999999999974,0.8,2,20,3
0,0.1,0.066,0.9333333333333336,1.4,2.8000000000000003,0.84,1,21,3
0,0.1,0.002,68.93333333333227,4.923809523809448,9.847619047618895,0.0,21,0,4
0,0.1,0.007,30.333333333333584,2.275000000000019,4.550000000000038,0.04,20,1,4
0,0.1,0.023,12.666666666666668,1.0,2.0,0.08,19,2,4
0,0.1,0.003,26.00000000000019,2.1666666666666825,4.333333333333365,0.12,18,3,4
0,0.1,0.0,12.800000000000002,1.1294117647058826,2.258823529411765,0.16,17,4,4
0,0.1,0.015,9.73333333333331,0.9124999999999978,1.8249999999999955,0.2,16,5,4
0,0.1,0.015,26.400000000000198,2.64000000000002,5.280000000000039,0.24,15,6,4
0,0.1,0.013,111.53333333332986,11.949999999999628,23.899999999999256,0.28,14,7,4
0,0.1,0.0,18.266666666666744,2.107692307692317,4.215384615384634,0.32,13,8,4
0,0.1,0.023,41.66666666666708,5.2083333333333846,10.416666666666767,0.36,12,9,4
0,0.1,0.033,46.66666666666687,6.363636363636391,12.727272727272782,0.4,11,10,4
0,0.1,0.0,22.533333333333477,3.380000000000021,6.760000000000042,0.44,10,11,4
0,0.1,0.015,100.73333333333048,16.788888888888412,33.577777777776824,0.48,9,12,4
0,0.1,0.007,4.666666666666661,0.8749999999999989,1.7499999999999978,0.52,8,13,4
0,0.1,0.069,26.6000000000002,5.700000000000043,11.400000000000086,0.56,7,14,4
0,0.1,0.011,74.26666666666529,18.566666666666325,37.13333333333265,0.6,6,15,4
0,0.1,0.084,6.199999999999989,1.8599999999999963,3.719999999999993,0.64,5,16,4
0,0.1,0.612,0.8666666666666666,0.325,0.65,0.68,4,17,4
0,0.1,0.187,8.866666666666646,4.433333333333323,8.866666666666646,0.72,3,18,4
0,0.1,0.005,3.2666666666666657,2.4499999999999997,4.899999999999999,0.76,2,19,4
0,0.1,0.075,0.6,0.8999999999999999,1.7999999999999998,0.8,1,20,4
0,0.1,0.063,7.866666666666649,0.5899999999999987,1.1799999999999975,0.0,20,0,5
0,0.1,0.021,18.40000000000008,1.452631578947375,2.90526315789475,0.04,19,1,5
0,0.1,0.002,30.066666666666915,2.505555555555576,5.011111111111152,0.08,18,2,5
0,0.1,0.0,13.533333333333344,1.1941176470588246,2.388235294117649,0.12,17,3,5
0,0.1,0.001,16.866666666666728,1.5812500000000056,3.162500000000011,0.16,16,4,5
0,0.1,0.0,23.00000000000015,2.3000000000000145,4.600000000000029,0.2,15,5,5
0,0.1,0.027,11.599999999999984,1.242857142857141,2.4857142857142827,0.24,14,6,5
0,0.1,0.0,8.199999999999982,0.946153846153844,1.892307692307688,0.28,13,7,5
0,0.1,0.039,1.266666666666667,0.1583333333333333,0.3166666666666667,0.32,12,8,5
0,0.1,0.0,6.999999999999986,0.9545454545454526,1.9090909090909047,0.36,11,9,5
0,0.1,0.008,15.0666666666667,2.260000000000005,4.52000000000001,0.4,10,10,5
0,0.1,0.007,29.00000000000023,4.833333333333372,9.666666666666744,0.44,9,11,5
0,0.1,0.018,3.333333333333332,0.6249999999999998,1.2499999999999996,0.48,8,12,5
0,0.1,0.023,10.399999999999974,2.228571428571423,4.457142857142846,0.52,7,13,5
0,0.1,,,,,0.56,6,14,5
0,0.1,0.049,34.93333333333365,10.480000000000096,20.96000000000019,0.6,5,15,5
0,0.1,0.027,125.19999999999574,46.9499999999984,93.8999999999968,0.64,4,16,5
0,0.1,0.047,8.999999999999979,4.499999999999989,8.999999999999979,0.68,3,17,5
0,0.1,0.0,3.5333333333333314,2.6499999999999986,5.299999999999997,0.72,2,18,5
0,0.1,0.025,12.399999999999997,18.599999999999994,37.19999999999999,0.76,1,19,5
0,0.1,0.0,7.866666666666649,0.621052631578946,1.242105263157892,0.0,19,0,6
0,0.1,0.032,51.199999999999946,4.266666666666662,8.533333333333324,0.04,18,1,6
0,0.1,0.011,16.400000000000052,1.4470588235294164,2.894117647058833,0.08,17,2,6
0,0.1,0.001,8.866666666666646,0.831249999999998,1.662499999999996,0.12,16,3,6
0,0.1,0.0,9.53333333333331,0.953333333333331,1.906666666666662,0.16,15,4,6
0,0.1,0.0,12.533333333333331,1.3428571428571427,2.685714285714285,0.2,14,5,6
0,0.1,0.031,6.466666666666654,0.7461538461538447,1.4923076923076894,0.24,13,6,6
0,0.1,0.019,44.73333333333364,5.591666666666705,11.18333333333341,0.28,12,7,6
0,0.1,0.0,7.466666666666651,1.018181818181816,2.036363636363632,0.32,11,8,6
0,0.1,0.025,7.399999999999984,1.1099999999999977,2.2199999999999958,0.36,10,9,6
0,0.1,0.006,19.8000000000001,3.3000000000000167,6.600000000000033,0.4,9,10,6
0,0.1,0.013,19.93333333333344,3.7375000000000194,7.475000000000039,0.44,8,11,6
0,0.1,0.016,17.66666666666674,3.785714285714301,7.571428571428602,0.48,7,12,6
0,0.1,0.0,32.13333333333361,8.033333333333402,16.066666666666805,0.52,6,13,6
0,0.1,0.044,3.5333333333333314,1.0599999999999994,2.1199999999999988,0.56,5,14,6
0,0.1,,,,,0.6,4,15,6
0,0.1,0.033,1.6000000000000003,0.8000000000000003,1.6000000000000003,0.64,3,16,6
0,0.1,0.055,13.66666666666668,10.25000000000001,20.50000000000002,0.68,2,17,6
0,0.1,,,,,0.72,1,18,6
0,0.1,0.001,24.733333333333505,2.061111111111125,4.122222222222251,0.0,18,0,7
0,0.1,0.0,3.466666666666665,0.3058823529411763,0.6117647058823527,0.04,17,1,7
0,0.1,0.002,24.933333333333508,2.3375000000000163,4.675000000000033,0.08,16,2,7
0,0.1,0.004,13.40000000000001,1.340000000000001,2.680000000000002,0.12,15,3,7
0,0.1,0.014,9.33333333333331,0.9999999999999976,1.9999999999999951,0.16,14,4,7
0,0.1,0.064,0.3333333333333333,0.0384615384615384,0.0769230769230769,0.2,13,5,7
0,0.1,0.02,9.53333333333331,1.1916666666666638,2.3833333333333275,0.24,12,6,7
0,0.1,0.0,19.333333333333428,2.636363636363649,5.272727272727298,0.28,11,7,7
0,0.1,0.024,15.866666666666712,2.380000000000007,4.760000000000014,0.32,10,8,7
0,0.1,0.015,2.866666666666667,0.4777777777777778,0.9555555555555556,0.36,9,9,7
0,0.1,0.008,17.133333333333397,3.212500000000012,6.425000000000024,0.4,8,10,7
0,0.1,0.04,4.266666666666662,0.9142857142857134,1.8285714285714267,0.44,7,11,7
0,0.1,0.055,3.399999999999999,0.8499999999999996,1.6999999999999993,0.48,6,12,7
0,0.1,0.013,15.000000000000032,4.50000000000001,9.00000000000002,0.52,5,13,7
0,0.1,0.029,7.2666666666666515,2.7249999999999943,5.449999999999989,0.56,4,14,7
0,0.1,0.0,16.066666666666716,8.033333333333358,16.066666666666716,0.6,3,15,7
0,0.1,0.679,1.3333333333333337,1.0000000000000002,2.0000000000000004,0.64,2,16,7
0,0.1,,,,,0.68,1,17,7
0,0.1,0.0,17.66666666666674,1.558823529411771,3.117647058823542,0.0,17,0,8
0,0.1,0.269,5.266666666666659,0.4937499999999992,0.9874999999999984,0.04,16,1,8
0,0.1,0.0,84.6666666666647,8.466666666666471,16.933333333332943,0.08,15,2,8
0,0.1,0.019,103.73333333333032,11.114285714285389,22.228571428570778,0.12,14,3,8
0,0.1,0.0,39.20000000000038,4.523076923076967,9.046153846153931,0.16,13,4,8
0,0.1,0.0,18.20000000000008,2.2750000000000097,4.550000000000019,0.2,12,5,8
0,0.1,0.031,1.3333333333333337,0.1818181818181818,0.3636363636363637,0.24,11,6,8
0,0.1,0.022,6.933333333333319,1.0399999999999978,2.079999999999996,0.28,10,7,8
0,0.1,,,,,0.32,9,8,8
0,0.1,0.038,1.0666666666666669,0.2,0.4000000000000001,0.36,8,9,8
0,0.1,0.015,22.133333333333468,4.742857142857171,9.485714285714344,0.4,7,10,8
0,0.1,0.059,2.5333333333333345,0.6333333333333336,1.2666666666666673,0.44,6,11,8
0,0.1,0.053,2.066666666666668,0.6200000000000003,1.2400000000000009,0.48,5,12,8
0,0.1,0.058,4.066666666666663,1.5249999999999986,3.049999999999997,0.52,4,13,8
