,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity,Seekers,Explorers,Isocontours
0,0.550442,0.31,0.4655873015873016,0.08,21,2,2
0,0.5495066666666667,0.31,0.4923333333333333,0.12,20,3,2
0,0.719476,0.317,0.473438596491228,0.16,19,4,2
0,0.594258,0.146,0.4793703703703704,0.2,18,5,2
0,0.7136813333333333,0.213,0.533607843137255,0.24,17,6,2
0,0.5746146666666667,0.327,0.5240416666666666,0.28,16,7,2
0,0.6394986666666667,0.225,0.5106222222222222,0.32,15,8,2
0,0.592452,0.217,0.4678571428571428,0.36,14,9,2
0,0.6549933333333333,0.222,0.5335384615384615,0.4,13,10,2
0,0.6552906666666666,0.235,0.5550555555555555,0.44,12,11,2
0,0.7312886666666667,0.245,0.6277575757575757,0.48,11,12,2
0,0.6756866666666668,0.254,0.6003333333333334,0.52,10,13,2
0,0.8232553333333332,0.261,0.6135555555555555,0.56,9,14,2
0,0.7132053333333334,0.235,0.6690833333333334,0.6,8,15,2
0,0.8557133333333333,0.249,0.6405714285714286,0.64,7,16,2
0,0.82538,0.278,0.6063333333333333,0.68,6,17,2
0,0.8335199999999999,0.244,0.5872,0.72,5,18,2
0,0.7480106666666667,0.262,0.7296666666666667,0.76,4,19,2
0,0.7859073333333333,0.278,0.7664444444444445,0.8,3,20,2
0,0.8151713333333334,0.274,0.635,0.84,2,21,2
0,0.7313093333333333,0.286,0.7493333333333333,0.88,1,22,2
0,0.7379393333333334,0.303,0.4568484848484848,0.0,22,0,3
0,0.620896,0.322,0.4488571428571428,0.04,21,1,3
0,0.626752,0.275,0.4369666666666666,0.08,20,2,3
0,0.693724,0.254,0.4845614035087719,0.12,19,3,3
0,0.7756446666666668,0.304,0.4371111111111111,0.16,18,4,3
0,0.6831373333333334,0.298,0.4335294117647059,0.2,17,5,3
0,0.6521813333333333,0.333,0.4414583333333333,0.24,16,6,3
0,0.6935053333333332,0.314,0.4514222222222222,0.28,15,7,3
0,0.7548493333333333,0.258,0.5657619047619048,0.32,14,8,3
0,0.7447266666666666,0.288,0.5222051282051282,0.36,13,9,3
0,0.74152,0.324,0.4996666666666666,0.4,12,10,3
0,0.5860159999999999,0.285,0.4949696969696969,0.44,11,11,3
0,0.7522746666666666,0.275,0.5921333333333333,0.48,10,12,3
0,0.7294460000000003,0.292,0.4794074074074074,0.52,9,13,3
0,0.6990206666666666,0.264,0.6988333333333333,0.56,8,14,3
0,0.7020366666666665,0.309,0.5020952380952381,0.6,7,15,3
0,0.7545873333333333,0.288,0.5983333333333334,0.64,6,16,3
0,0.7977726666666667,0.298,0.5302666666666667,0.68,5,17,3
0,0.6904513333333334,0.286,0.648,0.72,4,18,3
0,0.8416760000000001,0.296,0.6066666666666667,0.76,3,19,3
0,0.7561153333333335,0.298,0.631,0.8,2,20,3
0,0.720716,0.291,0.6406666666666667,0.84,1,21,3
0,0.7764866666666667,0.44,0.3858730158730158,0.0,21,0,4
0,0.678988,0.322,0.4211333333333333,0.04,20,1,4
