,Time Averaged Accuracy,Time Averaged Spreading,Heterogeneity,seekers,explorers,isocontours
0,0.0177893333333333,1.7056406666666668,0.64,2,16,7
0,0.015794,1.5728906666666669,0.68,1,17,7
0,0.036538,1.32956,0.0,17,0,8
0,0.0242706666666666,1.2222986666666666,0.04,16,1,8
0,0.092722,1.127704,0.08,15,2,8
0,0.0825133333333333,1.10333,0.12,14,3,8
0,0.0272213333333333,1.3023266666666666,0.16,13,4,8
0,0.0752213333333333,2.3891633333333333,0.2,12,5,8
0,0.0285986666666666,1.1454713333333335,0.24,11,6,8
0,0.03837,0.945788,0.28,10,7,8
0,0.0541926666666666,1.5475026666666667,0.32,9,8,8
0,0.031652,1.283546,0.36,8,9,8
0,0.0657013333333333,1.8591426666666664,0.4,7,10,8
0,0.0359386666666666,1.2898593333333332,0.44,6,11,8
0,0.0320226666666666,0.955902,0.48,5,12,8
0,0.0183246666666666,1.184246666666667,0.52,4,13,8
0,0.021266,1.3821480000000002,0.56,3,14,8
0,0.0204046666666666,1.2667646666666663,0.6,2,15,8
0,0.0243026666666666,1.2630953333333337,0.64,1,16,8
0,0.0822106666666666,0.6762413333333334,0.0,16,0,9
0,0.062398,0.5178593333333333,0.04,15,1,9
0,0.091918,0.5756733333333334,0.08,14,2,9
0,0.095984,1.2095193333333334,0.12,13,3,9
0,0.0578673333333333,0.9975853333333334,0.16,12,4,9
0,0.034894,0.6783633333333333,0.2,11,5,9
0,0.0696286666666666,0.8402446666666666,0.24,10,6,9
0,0.064838,2.0309833333333334,0.28,9,7,9
0,0.0387119999999999,0.9199126666666668,0.32,8,8,9
0,0.021522,1.897334,0.36,7,9,9
0,0.0176753333333333,1.2829773333333332,0.4,6,10,9
0,0.0217166666666666,1.2874566666666667,0.44,5,11,9
0,0.0482533333333333,1.252608,0.48,4,12,9
0,0.0236086666666666,1.1455586666666666,0.52,3,13,9
0,0.0277186666666666,0.8026766666666667,0.56,2,14,9
0,0.0290059999999999,1.0787146666666667,0.6,1,15,9
0,0.0999093333333333,1.6745166666666669,0.0,15,0,10
0,0.020054,1.3110053333333334,0.04,14,1,10
0,0.0237953333333333,1.131216,0.08,13,2,10
