Time,ID,behv,N,comm_area,Area Coverage
126.6,1,seeker,3.0,2000.0,500.0
126.6,2,seeker,2.0,2000.0,666.667
126.6,3,explorer,1.0,2000.0,1000.0
126.6,4,explorer,2.0,2000.0,666.667
126.6,5,explorer,0.0,2000.0,2000.0
126.6,Target,,,,
126.7,1,seeker,3.0,2000.0,500.0
126.7,2,seeker,2.0,2000.0,666.667
126.7,3,explorer,1.0,2000.0,1000.0
126.7,4,explorer,2.0,2000.0,666.667
126.7,5,explorer,0.0,2000.0,2000.0
126.7,Target,,,,
126.8,1,seeker,3.0,2000.0,500.0
126.8,2,seeker,2.0,2000.0,666.667
126.8,3,explorer,0.0,2000.0,2000.0
126.8,4,explorer,2.0,2000.0,666.667
126.8,5,explorer,0.0,2000.0,2000.0
126.8,Target,,,,
126.9,1,seeker,3.0,2000.0,500.0
126.9,2,seeker,2.0,2000.0,666.667
126.9,3,explorer,1.0,2000.0,1000.0
126.9,4,explorer,2.0,2000.0,666.667
126.9,5,explorer,0.0,2000.0,2000.0
126.9,Target,,,,
127.0,1,seeker,3.0,2000.0,500.0
127.0,2,seeker,2.0,2000.0,666.667
127.0,3,explorer,1.0,2000.0,1000.0
127.0,4,explorer,2.0,2000.0,666.667
127.0,5,explorer,0.0,2000.0,2000.0
127.0,Target,,,,
127.1,1,seeker,3.0,2000.0,500.0
127.1,2,seeker,2.0,2000.0,666.667
127.1,3,explorer,1.0,2000.0,1000.0
127.1,4,explorer,2.0,2000.0,666.667
127.1,5,explorer,0.0,2000.0,2000.0
127.1,Target,,,,
127.2,1,seeker,2.0,2000.0,666.667
127.2,2,seeker,2.0,2000.0,666.667
127.2,3,explorer,0.0,2000.0,2000.0
127.2,4,explorer,2.0,2000.0,666.667
127.2,5,explorer,0.0,2000.0,2000.0
127.2,Target,,,,
127.3,1,seeker,2.0,2000.0,666.667
127.3,2,seeker,2.0,2000.0,666.667
127.3,3,explorer,0.0,2000.0,2000.0
127.3,4,explorer,2.0,2000.0,666.667
127.3,5,explorer,0.0,2000.0,2000.0
127.3,Target,,,,
127.4,1,seeker,2.0,2000.0,666.667
127.4,2,seeker,2.0,2000.0,666.667
127.4,3,explorer,0.0,2000.0,2000.0
127.4,4,explorer,2.0,2000.0,666.667
127.4,5,explorer,0.0,2000.0,2000.0
127.4,Target,,,,
127.5,1,seeker,2.0,2000.0,666.667
127.5,2,seeker,2.0,2000.0,666.667
127.5,3,explorer,0.0,2000.0,2000.0
127.5,4,explorer,2.0,2000.0,666.667
127.5,5,explorer,0.0,2000.0,2000.0
127.5,Target,,,,
127.6,1,seeker,2.0,2000.0,666.667
127.6,2,seeker,2.0,2000.0,666.667
127.6,3,explorer,0.0,2000.0,2000.0
127.6,4,explorer,2.0,2000.0,666.667
127.6,5,explorer,0.0,2000.0,2000.0
127.6,Target,,,,
127.7,1,seeker,2.0,2000.0,666.667
127.7,2,seeker,2.0,2000.0,666.667
127.7,3,explorer,0.0,2000.0,2000.0
127.7,4,explorer,2.0,2000.0,666.667
127.7,5,explorer,0.0,2000.0,2000.0
127.7,Target,,,,
127.8,1,seeker,2.0,2000.0,666.667
127.8,2,seeker,2.0,2000.0,666.667
127.8,3,explorer,0.0,2000.0,2000.0
127.8,4,explorer,2.0,2000.0,666.667
127.8,5,explorer,0.0,2000.0,2000.0
127.8,Target,,,,
127.9,1,seeker,2.0,2000.0,666.667
127.9,2,seeker,2.0,2000.0,666.667
127.9,3,explorer,0.0,2000.0,2000.0
127.9,4,explorer,2.0,2000.0,666.667
127.9,5,explorer,0.0,2000.0,2000.0
127.9,Target,,,,
128.0,1,seeker,2.0,2000.0,666.667
128.0,2,seeker,2.0,2000.0,666.667
128.0,3,explorer,0.0,2000.0,2000.0
128.0,4,explorer,2.0,2000.0,666.667
128.0,5,explorer,0.0,2000.0,2000.0
128.0,Target,,,,
128.1,1,seeker,2.0,2000.0,666.667
128.1,2,seeker,2.0,2000.0,666.667
128.1,3,explorer,0.0,2000.0,2000.0
128.1,4,explorer,2.0,2000.0,666.667
128.1,5,explorer,0.0,2000.0,2000.0
128.1,Target,,,,
128.2,1,seeker,2.0,2000.0,666.667
128.2,2,seeker,2.0,2000.0,666.667
128.2,3,explorer,0.0,2000.0,2000.0
128.2,4,explorer,2.0,2000.0,666.667
128.2,5,explorer,0.0,2000.0,2000.0
128.2,Target,,,,
128.3,1,seeker,2.0,2000.0,666.667
128.3,2,seeker,2.0,2000.0,666.667
128.3,3,explorer,0.0,2000.0,2000.0
128.3,4,explorer,2.0,2000.0,666.667
128.3,5,explorer,0.0,2000.0,2000.0
128.3,Target,,,,
