Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
3.3,1,9.8,2.5,-0.9,-0.1,-0.75,-3.34,-10.55,-5.84,12.059,0.033,0.402,-0.875,-0.484,0.9226269315673289
3.3,2,-1.1,8.1,-0.1,-0.8,-0.75,-3.34,0.35,-11.44,11.445,0.033,0.382,0.031,-1.0,0.9887096774193549
3.3,3,-0.5,4.8,-0.0,-0.7,-0.75,-3.34,-0.25,-8.14,8.144,0.033,0.271,-0.031,-1.0,1.0
3.3,4,5.2,2.8,-0.8,-0.5,-0.75,-3.34,-5.95,-6.14,8.55,0.033,0.285,-0.696,-0.718,0.9711558854718982
3.4,1,9.7,2.5,-0.8,-0.1,-0.87,-3.28,-10.57,-5.78,12.047,0.034,0.402,-0.877,-0.48,0.9300248138957816
3.4,2,-1.1,8.0,0.0,-0.9,-0.87,-3.28,0.23,-11.28,11.282,0.034,0.376,0.02,-1.0,1.0
3.4,3,-0.5,4.7,0.0,-0.7,-0.87,-3.28,-0.37,-7.98,7.989,0.034,0.266,-0.046,-0.999,0.999
3.4,4,5.1,2.8,-0.6,-0.4,-0.87,-3.28,-5.97,-6.08,8.521,0.034,0.284,-0.701,-0.714,0.9794729542302357
3.5,1,9.6,2.5,-0.9,-0.2,-1.0,-3.24,-10.6,-5.74,12.054,0.035,0.402,-0.879,-0.476,0.9612798264642083
3.5,2,-1.1,7.9,0.0,-0.9,-1.0,-3.24,0.1,-11.14,11.14,0.035,0.371,0.009,-1.0,1.0
3.5,3,-0.5,4.6,-0.2,-0.8,-1.0,-3.24,-0.5,-7.84,7.856,0.035,0.262,-0.064,-0.998,0.9832727272727274
3.5,4,5.0,2.7,-0.7,-0.5,-1.0,-3.24,-6.0,-5.94,8.443,0.035,0.281,-0.711,-0.704,0.9880232558139533
3.6,1,9.5,2.4,-0.9,-0.3,-1.0,-3.11,-10.5,-5.51,11.858,0.036,0.395,-0.885,-0.465,0.9863013698630136
3.6,2,-1.1,7.9,0.1,-0.9,-1.0,-3.11,0.1,-11.01,11.01,0.036,0.367,0.009,-1.0,0.9943708609271523
