Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.21,4,19.6,-0.3,-0.4,0.3,-4.06,-17.85,-23.66,-17.55,29.458,0.002,0.736,-0.803,-0.596,0.2848000000000001
0.22,1,-3.0,-1.6,-0.1,-0.3,-4.05,-17.84,-1.05,-16.24,16.274,0.002,0.407,-0.065,-0.998,0.9680379746835444
0.22,2,-18.3,-4.6,0.2,0.2,-4.05,-17.84,14.25,-13.24,19.451,0.002,0.486,0.733,-0.681,0.03674911660777383
0.22,3,-0.5,-8.4,-0.2,0.3,-4.05,-17.84,-3.55,-9.44,10.085,0.002,0.252,-0.352,-0.936,-0.5828254847645429
0.22,4,19.6,-0.3,-0.3,0.2,-4.05,-17.84,-23.65,-17.54,29.444,0.002,0.736,-0.803,-0.596,0.33711911357340724
0.23,1,-3.0,-1.6,0.1,0.4,-4.06,-17.85,-1.06,-16.25,16.285,0.002,0.407,-0.065,-0.998,-0.9847087378640778
0.23,2,-18.3,-4.6,0.2,0.3,-4.06,-17.85,14.24,-13.25,19.451,0.002,0.486,0.732,-0.681,-0.16038781163434906
0.23,3,-0.5,-8.4,-0.2,0.5,-4.06,-17.85,-3.56,-9.45,10.098,0.002,0.252,-0.353,-0.936,-0.737291280148423
0.23,4,19.6,-0.3,-0.3,0.2,-4.06,-17.85,-23.66,-17.55,29.458,0.002,0.736,-0.803,-0.596,0.33711911357340724
0.24,1,-3.0,-1.6,0.1,-0.9,-4.05,-17.84,-1.05,-16.24,16.274,0.002,0.407,-0.065,-0.998,0.9842163355408389
0.24,2,-18.3,-4.6,0.2,0.2,-4.05,-17.84,14.25,-13.24,19.451,0.002,0.486,0.733,-0.681,0.03674911660777383
0.24,3,-0.5,-8.4,-0.1,0.5,-4.05,-17.84,-3.55,-9.44,10.085,0.002,0.252,-0.352,-0.936,-0.8486274509803922
0.24,4,19.6,-0.3,-0.5,0.1,-4.05,-17.84,-23.65,-17.54,29.444,0.002,0.736,-0.803,-0.596,0.6703921568627451
0.25,1,-3.0,-1.6,-0.1,0.3,-4.05,-17.85,-1.05,-16.25,16.284,0.002,0.407,-0.064,-0.998,-0.9272151898734177
0.25,2,-18.3,-4.6,0.3,0.4,-4.05,-17.85,14.25,-13.25,19.458,0.002,0.486,0.732,-0.681,-0.10560000000000008
0.25,3,-0.5,-8.4,-0.2,0.3,-4.05,-17.85,-3.55,-9.45,10.095,0.002,0.252,-0.352,-0.936,-0.5828254847645429
0.25,4,19.6,-0.3,-0.4,0.1,-4.05,-17.85,-23.65,-17.55,29.45,0.002,0.736,-0.803,-0.596,0.6349514563106797
0.26,1,-3.0,-1.6,-0.1,0.5,-4.05,-17.86,-1.05,-16.26,16.294,0.003,0.407,-0.064,-0.998,-0.9658823529411764
0.26,2,-18.3,-4.5,0.4,0.4,-4.05,-17.86,14.25,-13.36,19.533,0.003,0.488,0.73,-0.684,0.032508833922261435
0.26,3,-0.5,-8.4,-0.3,0.5,-4.05,-17.86,-3.55,-9.46,10.104,0.003,0.253,-0.351,-0.936,-0.6221269296740995
0.26,4,19.6,-0.3,-0.3,0.2,-4.05,-17.86,-23.65,-17.56,29.456,0.003,0.736,-0.803,-0.596,0.33711911357340724
0.27,1,-3.0,-1.6,0.2,-0.7,-4.06,-17.86,-1.06,-16.26,16.295,0.003,0.407,-0.065,-0.998,0.9417582417582417
0.27,2,-18.3,-4.5,0.3,0.2,-4.06,-17.86,14.24,-13.36,19.526,0.003,0.488,0.729,-0.684,0.22686980609418275
0.27,3,-0.5,-8.4,-0.1,0.3,-4.06,-17.86,-3.56,-9.46,10.108,0.003,0.253,-0.352,-0.936,-0.7772151898734176
0.27,4,19.6,-0.3,-0.4,0.1,-4.06,-17.86,-23.66,-17.56,29.464,0.003,0.737,-0.803,-0.596,0.6349514563106797
0.28,1,-3.0,-1.6,-0.2,0.3,-4.06,-17.87,-1.06,-16.27,16.304,0.003,0.408,-0.065,-0.998,-0.7933518005540167
0.28,2,-18.3,-4.5,0.4,0.3,-4.06,-17.87,14.24,-13.37,19.533,0.003,0.488,0.729,-0.684,0.1728
0.28,3,-0.5,-8.4,-0.2,0.5,-4.06,-17.87,-3.56,-9.47,10.117,0.003,0.253,-0.352,-0.936,-0.7376623376623377
