Time,ID,Ne,Area Coverage
1.5,22,3.0,78.54
1.5,23,4.0,62.832
1.5,24,4.0,62.832
1.6,5,0.0,314.159
1.6,6,1.0,157.08
1.6,7,5.0,52.36
1.6,8,5.0,52.36
1.6,9,7.0,39.27
1.6,10,2.0,104.72
1.6,11,3.0,78.54
1.6,12,2.0,104.72
1.6,13,7.0,39.27
1.6,14,5.0,52.36
1.6,15,5.0,52.36
1.6,16,0.0,314.159
1.6,17,1.0,157.08
1.6,18,2.0,104.72
1.6,19,1.0,157.08
1.6,20,2.0,104.72
1.6,21,7.0,39.27
1.6,22,3.0,78.54
1.6,23,4.0,62.832
1.6,24,4.0,62.832
1.7,5,0.0,314.159
1.7,6,1.0,157.08
1.7,7,5.0,52.36
1.7,8,5.0,52.36
1.7,9,7.0,39.27
1.7,10,2.0,104.72
1.7,11,3.0,78.54
1.7,12,2.0,104.72
1.7,13,7.0,39.27
1.7,14,5.0,52.36
1.7,15,5.0,52.36
1.7,16,0.0,314.159
1.7,17,1.0,157.08
1.7,18,2.0,104.72
1.7,19,1.0,157.08
1.7,20,2.0,104.72
1.7,21,6.0,44.88
1.7,22,3.0,78.54
1.7,23,3.0,78.54
1.7,24,4.0,62.832
1.8,5,0.0,314.159
1.8,6,1.0,157.08
1.8,7,5.0,52.36
1.8,8,4.0,62.832
1.8,9,7.0,39.27
1.8,10,2.0,104.72
1.8,11,3.0,78.54
1.8,12,2.0,104.72
1.8,13,7.0,39.27
1.8,14,5.0,52.36
1.8,15,5.0,52.36
1.8,16,0.0,314.159
1.8,17,1.0,157.08
1.8,18,2.0,104.72
1.8,19,1.0,157.08
1.8,20,2.0,104.72
1.8,21,6.0,44.88
1.8,22,3.0,78.54
1.8,23,3.0,78.54
1.8,24,4.0,62.832
1.9,5,0.0,314.159
1.9,6,1.0,157.08
1.9,7,5.0,52.36
1.9,8,4.0,62.832
1.9,9,7.0,39.27
1.9,10,2.0,104.72
1.9,11,3.0,78.54
1.9,12,2.0,104.72
1.9,13,7.0,39.27
1.9,14,5.0,52.36
1.9,15,5.0,52.36
1.9,16,0.0,314.159
1.9,17,1.0,157.08
1.9,18,2.0,104.72
1.9,19,1.0,157.08
1.9,20,2.0,104.72
1.9,21,5.0,52.36
1.9,22,3.0,78.54
1.9,23,3.0,78.54
1.9,24,4.0,62.832
2.0,5,0.0,314.159
2.0,6,1.0,157.08
2.0,7,5.0,52.36
2.0,8,4.0,62.832
2.0,9,7.0,39.27
2.0,10,2.0,104.72
2.0,11,3.0,78.54
2.0,12,2.0,104.72
2.0,13,7.0,39.27
2.0,14,5.0,52.36
2.0,15,5.0,52.36
2.0,16,0.0,314.159
2.0,17,1.0,157.08
2.0,18,2.0,104.72
2.0,19,1.0,157.08
2.0,20,2.0,104.72
2.0,21,5.0,52.36
2.0,22,3.0,78.54
2.0,23,3.0,78.54
2.0,24,4.0,62.832
2.1,5,0.0,314.159
2.1,6,1.0,157.08
2.1,7,5.0,52.36
2.1,8,4.0,62.832
2.1,9,7.0,39.27
2.1,10,2.0,104.72
2.1,11,3.0,78.54
2.1,12,2.0,104.72
2.1,13,7.0,39.27
2.1,14,5.0,52.36
2.1,15,5.0,52.36
2.1,16,0.0,314.159
2.1,17,1.0,157.08
2.1,18,2.0,104.72
2.1,19,1.0,157.08
2.1,20,2.0,104.72
2.1,21,5.0,52.36
2.1,22,3.0,78.54
2.1,23,3.0,78.54
2.1,24,4.0,62.832
2.2,5,0.0,314.159
2.2,6,1.0,157.08
2.2,7,5.0,52.36
2.2,8,4.0,62.832
2.2,9,7.0,39.27
2.2,10,2.0,104.72
2.2,11,3.0,78.54
2.2,12,2.0,104.72
2.2,13,7.0,39.27
2.2,14,5.0,52.36
2.2,15,5.0,52.36
2.2,16,0.0,314.159
2.2,17,1.0,157.08
2.2,18,2.0,104.72
2.2,19,1.0,157.08
2.2,20,2.0,104.72
2.2,21,5.0,52.36
2.2,22,3.0,78.54
2.2,23,3.0,78.54
2.2,24,4.0,62.832
2.3,5,0.0,314.159
2.3,6,1.0,157.08
2.3,7,5.0,52.36
2.3,8,4.0,62.832
2.3,9,7.0,39.27
2.3,10,2.0,104.72
2.3,11,3.0,78.54
2.3,12,2.0,104.72
2.3,13,7.0,39.27
2.3,14,5.0,52.36
2.3,15,5.0,52.36
2.3,16,0.0,314.159
2.3,17,1.0,157.08
